iso_code;continent;location;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita
AFG;Asia;Afghanistan;39835428;54.422;18.6;2.581;1.337;1803.987
OWID_AFR;NULL;Africa;1373486472;NULL;NULL;NULL;NULL;NULL
ALB;Europe;Albania;2872934;104.871;38;13.188;8.643;11803.431
DZA;Africa;Algeria;44616626;17.348;29.1;6.211;3.857;13913.839
AND;Europe;Andorra;77354;163.755;NULL;NULL;NULL;NULL
AGO;Africa;Angola;33933611;23.89;16.8;2.405;1.362;5819.495
AIA;North America;Anguilla;15125;NULL;NULL;NULL;NULL;NULL
ATG;North America;Antigua and Barbuda;98728;231.845;32.1;6.933;4.631;21490.943
ARG;South America;Argentina;45605823;16.177;31.9;11.198;7.441;18933.907
ARM;Asia;Armenia;2968128;102.931;35.7;11.232;7.571;8787.58
ABW;North America;Aruba;107195;584.8;41.2;13.085;7.452;35973.781
OWID_ASI;NULL;Asia;4679660580;NULL;NULL;NULL;NULL;NULL
AUS;Oceania;Australia;25788217;3.202;37.9;15.504;10.129;44648.71
AUT;Europe;Austria;9043072;106.749;44.4;19.202;13.748;45436.686
AZE;Asia;Azerbaijan;10223344;119.309;32.4;6.018;3.871;15847.419
BHS;North America;Bahamas;396914;39.497;34.3;8.996;5.2;27717.847
BHR;Asia;Bahrain;1748295;1935.907;32.4;2.372;1.387;43290.705
BGD;Asia;Bangladesh;166303494;1265.036;27.5;5.098;3.262;3523.984
BRB;North America;Barbados;287708;664.463;39.8;14.952;9.473;16978.068
BLR;Europe;Belarus;9442867;46.858;40.3;14.799;9.788;17167.967
BEL;Europe;Belgium;11632334;375.564;41.8;18.571;12.849;42658.576
BLZ;North America;Belize;404915;16.426;25;3.853;2.279;7824.362
BEN;Africa;Benin;12451031;99.11;18.8;3.244;1.942;2064.236
BMU;North America;Bermuda;62092;1308.82;NULL;NULL;NULL;50669.315
BTN;Asia;Bhutan;779900;21.188;28.6;4.885;2.977;8708.597
BOL;South America;Bolivia;11832936;10.202;25.4;6.704;4.393;6885.829
BES;North America;Bonaire Sint Eustatius and Saba;26445;NULL;NULL;NULL;NULL;NULL
BIH;Europe;Bosnia and Herzegovina;3263459;68.496;42.5;16.569;10.711;11713.895
BWA;Africa;Botswana;2397240;4.044;25.8;3.941;2.242;15807.374
BRA;South America;Brazil;213993441;25.04;33.5;8.552;5.06;14103.452
VGB;North America;British Virgin Islands;30423;207.973;NULL;NULL;NULL;NULL
BRN;Asia;Brunei;441532;81.347;32.4;4.591;2.382;71809.251
BGR;Europe;Bulgaria;6896655;65.18;44.7;20.801;13.272;18563.307
BFA;Africa;Burkina Faso;21497097;70.151;17.6;2.409;1.358;1703.102
BDI;Africa;Burundi;12255429;423.062;17.5;2.562;1.504;702.225
KHM;Asia;Cambodia;16946446;90.672;25.6;4.412;2.385;3645.07
CMR;Africa;Cameroon;27224262;50.885;18.8;3.165;1.919;3364.926
CAN;North America;Canada;38067913;4.037;41.4;16.984;10.797;44017.591
CPV;Africa;Cape Verde;561901;135.58;25.7;4.46;3.437;6222.554
CYM;North America;Cayman Islands;66498;256.496;NULL;NULL;NULL;49903.029
CAF;Africa;Central African Republic;4919987;7.479;18.3;3.655;2.251;661.24
TCD;Africa;Chad;16914985;11.833;16.7;2.486;1.446;1768.153
CHL;South America;Chile;19212362;24.282;35.4;11.087;6.938;22767.037
CHN;Asia;China;1444216102;147.674;38.7;10.641;5.929;15308.712
COL;South America;Colombia;51265841;44.223;32.2;7.646;4.312;13254.949
COM;Africa;Comoros;888456;437.352;20.4;2.963;1.726;1413.89
COG;Africa;Congo;5657017;15.405;19;3.402;2.063;4881.406
COK;Oceania;Cook Islands;17572;NULL;NULL;NULL;NULL;NULL
CRI;North America;Costa Rica;5139053;96.079;33.6;9.468;5.694;15524.995
CIV;Africa;Cote d'Ivoire;27053629;76.399;18.7;2.933;1.582;3601.006
HRV;Europe;Croatia;4081657;73.726;44;19.724;13.053;22669.797
CUB;North America;Cuba;11317498;110.408;43.1;14.738;9.719;NULL
CUW;North America;Curacao;164796;362.644;41.7;16.367;10.068;NULL
CYP;Europe;Cyprus;888005;127.657;37.3;13.416;8.563;32415.132
CZE;Europe;Czechia;10724553;137.176;43.3;19.027;11.58;32605.906
COD;Africa;Democratic Republic of Congo;92377986;35.879;17;3.02;1.745;808.133
DNK;Europe;Denmark;5813302;136.52;42.3;19.677;12.325;46682.515
DJI;Africa;Djibouti;1002197;41.285;25.4;4.213;2.38;2705.406
DMA;North America;Dominica;72172;98.567;NULL;NULL;NULL;9673.367
DOM;North America;Dominican Republic;10953714;222.873;27.6;6.981;4.419;14600.861
ECU;South America;Ecuador;17888474;66.939;28.1;7.104;4.458;10581.936
EGY;Africa;Egypt;104258327;97.999;25.3;5.159;2.891;10550.206
SLV;North America;El Salvador;6518500;307.811;27.6;8.273;5.417;7292.458
GNQ;Africa;Equatorial Guinea;1449891;45.194;22.4;2.846;1.752;22604.873
ERI;Africa;Eritrea;3601462;44.304;19.3;3.607;2.171;1510.459
EST;Europe;Estonia;1325188;31.033;42.7;19.452;13.491;29481.252
SWZ;Africa;Eswatini;1172369;79.492;21.5;3.163;1.845;7738.975
ETH;Africa;Ethiopia;117876226;104.957;19.8;3.526;2.063;1729.927
OWID_EUR;NULL;Europe;747747396;NULL;NULL;NULL;NULL;NULL
OWID_EUN;NULL;European Union;447189915;NULL;NULL;NULL;NULL;NULL
FRO;Europe;Faeroe Islands;49053;35.308;NULL;NULL;NULL;NULL
FLK;South America;Falkland Islands;3528;NULL;NULL;NULL;NULL;NULL
FJI;Oceania;Fiji;902899;49.562;28.6;6.224;3.284;8702.975
FIN;Europe;Finland;5548361;18.136;42.8;21.228;13.264;40585.721
FRA;Europe;France;67564251;122.578;42;19.718;13.079;38605.671
PYF;Oceania;French Polynesia;282534;77.324;32.7;7.775;4.593;NULL
GAB;Africa;Gabon;2278829;7.859;23.1;4.45;2.976;16562.413
GMB;Africa;Gambia;2486937;207.566;17.5;2.339;1.417;1561.767
GEO;Asia;Georgia;3979773;65.032;38.7;14.864;10.244;9745.079
DEU;Europe;Germany;83900471;237.016;46.6;21.453;15.957;45229.245
GHA;Africa;Ghana;31732128;126.719;21.1;3.385;1.948;4227.63
GIB;Europe;Gibraltar;33691;3457.1;NULL;NULL;NULL;NULL
GRC;Europe;Greece;10370747;83.479;45.3;20.396;14.524;24574.382
GRL;North America;Greenland;56868;0.137;NULL;NULL;NULL;NULL
GRD;North America;Grenada;113015;317.132;29.4;7.304;5.021;13593.877
GTM;North America;Guatemala;18249868;157.834;22.9;4.694;3.016;7423.808
GGY;Europe;Guernsey;67052;NULL;NULL;NULL;NULL;NULL
GIN;Africa;Guinea;13497237;51.755;19;3.135;1.733;1998.926
GNB;Africa;Guinea-Bissau;2015490;66.191;19.4;3.002;1.565;1548.675
GUY;South America;Guyana;790329;3.952;26.3;5.305;2.837;7435.047
HTI;North America;Haiti;11541683;398.448;24.3;4.8;2.954;1653.173
HND;North America;Honduras;10062994;82.805;24.9;4.652;2.883;4541.795
HKG;Asia;Hong Kong;7552800;7039.714;44.8;16.303;10.158;56054.92
HUN;Europe;Hungary;9634162;108.043;43.4;18.577;11.976;26777.561
ISL;Europe;Iceland;343360;3.404;37.3;14.431;9.207;46482.958
IND;Asia;India;1393409033;450.419;28.2;5.989;3.414;6426.674
IDN;Asia;Indonesia;276361788;145.725;29.3;5.319;3.053;11188.744
OWID_INT;NULL;International;NULL;NULL;NULL;NULL;NULL;NULL
IRN;Asia;Iran;85028760;49.831;32.4;5.44;3.182;19082.62
IRQ;Asia;Iraq;41179351;88.125;20;3.186;1.957;15663.986
IRL;Europe;Ireland;4982904;69.874;38.7;13.928;8.678;67335.293
IMN;Europe;Isle of Man;85410;147.872;NULL;NULL;NULL;NULL
ISR;Asia;Israel;8789776;402.606;30.6;11.733;7.359;33132.32
ITA;Europe;Italy;60367471;205.859;47.9;23.021;16.24;35220.084
JAM;North America;Jamaica;2973462;266.879;31.4;9.684;6.39;8193.571
JPN;Asia;Japan;126050796;347.778;48.2;27.049;18.493;39002.223
JEY;Europe;Jersey;101073;NULL;NULL;NULL;NULL;NULL
JOR;Asia;Jordan;10269022;109.285;23.2;3.81;2.361;8337.49
KAZ;Asia;Kazakhstan;18994958;6.681;30.6;6.991;4.625;24055.588
KEN;Africa;Kenya;54985702;87.324;20;2.686;1.528;2993.028
KIR;Oceania;Kiribati;121388;143.701;23.2;3.895;2.21;1981.132
OWID_KOS;Europe;Kosovo;1932774;168.155;NULL;NULL;NULL;9795.834
KWT;Asia;Kuwait;4328553;232.128;33.7;2.345;1.114;65530.537
KGZ;Asia;Kyrgyzstan;6628347;32.333;26.3;4.489;2.882;3393.474
LAO;Asia;Laos;7379358;29.715;24.4;4.029;2.322;6397.36
LVA;Europe;Latvia;1866934;31.212;43.9;19.754;14.136;25063.846
LBN;Asia;Lebanon;6769151;594.561;31.1;8.514;5.43;13367.565
LSO;Africa;Lesotho;2159067;73.562;22.2;4.506;2.647;2851.153
LBR;Africa;Liberia;5180208;49.127;19.2;3.057;1.756;752.788
LBY;Africa;Libya;6958538;3.623;29;4.424;2.816;17881.509
LIE;Europe;Liechtenstein;38254;237.012;NULL;NULL;NULL;NULL
LTU;Europe;Lithuania;2689862;45.135;43.5;19.002;13.778;29524.265
LUX;Europe;Luxembourg;634814;231.447;39.7;14.312;9.842;94277.965
MAC;Asia;Macao;658391;20546.766;39.2;9.798;4.991;104861.851
MDG;Africa;Madagascar;28427333;43.951;19.6;2.929;1.686;1416.44
MWI;Africa;Malawi;19647681;197.519;18.1;2.979;1.783;1095.042
MYS;Asia;Malaysia;32776195;96.254;29.9;6.293;3.407;26808.164
MDV;Asia;Maldives;543620;1454.433;30.6;4.12;2.875;15183.616
MLI;Africa;Mali;20855724;15.196;16.4;2.519;1.486;2014.306
MLT;Europe;Malta;514564;1454.037;42.4;19.426;11.324;36513.323
MHL;Oceania;Marshall Islands;59618;295.15;NULL;NULL;NULL;3819.202
MRT;Africa;Mauritania;4775110;4.289;20.3;3.138;1.792;3597.633
MUS;Africa;Mauritius;1273428;622.962;37.4;10.945;5.884;20292.745
MEX;North America;Mexico;130262220;66.444;29.3;6.857;4.321;17336.469
FSM;Oceania;Micronesia (country);116255;150.777;23;4.81;2.392;3299.464
MDA;Europe;Moldova;4024025;123.655;37.6;10.864;6.955;5189.972
MCO;Europe;Monaco;39520;19347.5;NULL;NULL;NULL;NULL
MNG;Asia;Mongolia;3329282;1.98;28.6;4.031;2.421;11840.846
MNE;Europe;Montenegro;628051;46.28;39.1;14.762;9.395;16409.288
MSR;North America;Montserrat;4981;NULL;NULL;NULL;NULL;NULL
MAR;Africa;Morocco;37344787;80.08;29.6;6.769;4.209;7485.013
MOZ;Africa;Mozambique;32163045;37.728;17.7;3.158;1.87;1136.103
MMR;Asia;Myanmar;54806014;81.721;29.1;5.732;3.12;5591.597
NAM;Africa;Namibia;2587344;3.078;22;3.552;2.085;9541.808
NRU;Oceania;Nauru;10873;682.45;NULL;NULL;NULL;12895.635
NPL;Asia;Nepal;29674920;204.43;25;5.809;3.212;2442.804
NLD;Europe;Netherlands;17173094;508.544;43.2;18.779;11.881;48472.545
NCL;Oceania;New Caledonia;288217;15.342;33.4;9.954;6.489;NULL
NZL;Oceania;New Zealand;4860642;18.206;37.9;15.322;9.72;36085.843
NIC;North America;Nicaragua;6702379;51.667;27.3;5.445;3.519;5321.444
NER;Africa;Niger;25130810;16.955;15.1;2.553;1.378;926
NGA;Africa;Nigeria;211400704;209.588;18.1;2.751;1.447;5338.454
NIU;Oceania;Niue;1614;NULL;NULL;NULL;NULL;NULL
OWID_NAM;NULL;North America;596581283;NULL;NULL;NULL;NULL;NULL
MKD;Europe;North Macedonia;2082661;82.6;39.1;13.26;8.16;13111.214
OWID_CYN;Asia;Northern Cyprus;NULL;NULL;NULL;NULL;NULL;NULL
NOR;Europe;Norway;5465629;14.462;39.7;16.821;10.813;64800.057
OWID_OCE;NULL;Oceania;43219954;NULL;NULL;NULL;NULL;NULL
OMN;Asia;Oman;5223376;14.98;30.7;2.355;1.53;37960.709
PAK;Asia;Pakistan;225199929;255.573;23.5;4.495;2.78;5034.708
PLW;Oceania;Palau;18174;47.237;NULL;NULL;NULL;13240.405
PSE;Asia;Palestine;5222756;778.202;20.4;3.043;1.726;4449.898
PAN;North America;Panama;4381583;55.133;29.7;7.918;5.03;22267.037
PNG;Oceania;Papua New Guinea;9119005;18.22;22.6;3.808;2.142;3823.194
PRY;South America;Paraguay;7219641;17.144;26.5;6.378;3.833;8827.01
PER;South America;Peru;33359415;25.129;29.1;7.151;4.455;12236.706
PHL;Asia;Philippines;111046910;351.873;25.2;4.803;2.661;7599.188
PCN;Oceania;Pitcairn;47;NULL;NULL;NULL;NULL;NULL
POL;Europe;Poland;37797000;124.027;41.8;16.763;10.202;27216.445
PRT;Europe;Portugal;10167923;112.371;46.2;21.502;14.924;27936.896
QAT;Asia;Qatar;2930524;227.322;31.9;1.307;0.617;116935.6
ROU;Europe;Romania;19127772;85.129;43;17.85;11.69;23313.199
RUS;Europe;Russia;145912022;8.823;39.6;14.178;9.393;24765.954
RWA;Africa;Rwanda;13276517;494.869;20.3;2.974;1.642;1854.211
SHN;Africa;Saint Helena;6095;NULL;NULL;NULL;NULL;NULL
KNA;North America;Saint Kitts and Nevis;53546;212.865;NULL;NULL;NULL;24654.385
LCA;North America;Saint Lucia;184401;293.187;34.9;9.721;6.405;12951.839
VCT;North America;Saint Vincent and the Grenadines;111269;281.787;31.8;7.724;4.832;10727.146
WSM;Oceania;Samoa;200144;69.413;22;5.606;3.564;6021.557
SMR;Europe;San Marino;34010;556.667;NULL;NULL;NULL;56861.47
